iter	Passed	Remaining
801	1942	479
802	1944	476
803	1946	474
804	1948	472
805	1950	469
806	1953	467
807	1955	464
808	1957	462
809	1959	459
810	1962	457
811	1964	454
812	1967	452
813	1969	450
814	1971	447
815	1973	445
816	1976	442
817	1978	440
818	1980	437
819	1982	435
820	1985	432
821	1987	430
822	1990	428
823	1993	425
824	1995	423
825	1998	420
826	2000	418
827	2003	416
828	2006	413
829	2008	411
830	2010	408
831	2012	406
832	2015	403
833	2017	401
834	2020	399
835	2022	396
836	2025	394
837	2027	391
838	2030	389
839	2033	387
840	2035	384
841	2038	382
842	2040	380
843	2043	377
844	2045	375
845	2047	372
846	2050	370
847	2052	367
848	2054	365
849	2057	363
850	2059	360
851	2061	358
852	2063	355
853	2065	353
854	2067	350
855	2069	348
856	2072	345
857	2074	343
858	2076	340
859	2078	338
860	2080	335
861	2082	333
862	2085	331
863	2087	328
864	2089	326
865	2092	323
866	2094	321
867	2097	318
868	2099	316
869	2101	314
870	2103	311
871	2105	309
872	2108	306
873	2110	304
874	2112	301
875	2114	299
876	2116	296
877	2118	294
878	2120	291
879	2122	289
880	2124	287
881	2126	284
882	2128	282
883	2130	279
884	2132	277
885	2134	274
886	2137	272
887	2139	269
888	2141	267
889	2143	264
890	2145	262
891	2147	259
892	2149	257
893	2152	255
894	2154	252
895	2155	250
896	2157	247
897	2159	245
898	2161	242
899	2164	240
900	2166	238
901	2168	235
902	2170	233
903	2172	230
904	2174	228
905	2177	225
906	2179	223
907	2181	221
908	2184	218
909	2185	216
910	2188	213
911	2190	211
912	2192	208
913	2194	206
914	2196	204
915	2198	201
916	2200	199
917	2202	196
918	2204	194
919	2206	191
920	2209	189
921	2211	187
922	2213	184
923	2215	182
924	2217	179
925	2219	177
926	2221	174
927	2224	172
928	2226	170
929	2228	167
930	2230	165
931	2232	162
932	2234	160
933	2237	158
934	2239	155
935	2241	153
936	2243	150
937	2246	148
938	2248	146
939	2250	143
940	2252	141
941	2254	138
942	2256	136
943	2258	133
944	2260	131
945	2262	129
946	2264	126
947	2266	124
948	2268	121
949	2270	119
950	2273	117
951	2275	114
952	2277	112
953	2279	109
954	2281	107
955	2283	105
956	2286	102
957	2288	100
958	2290	97
959	2293	95
960	2295	93
961	2297	90
962	2299	88
963	2302	85
964	2305	83
965	2307	81
966	2309	78
967	2311	76
968	2315	74
969	2317	71
970	2319	69
971	2321	66
972	2323	64
973	2325	62
974	2328	59
975	2330	57
976	2332	54
977	2334	52
978	2336	50
979	2338	47
980	2340	45
981	2342	42
982	2344	40
983	2346	38
984	2348	35
985	2350	33
986	2353	30
987	2355	28
988	2357	26
989	2359	23
990	2361	21
991	2363	19
992	2364	16
993	2366	14
994	2368	11
995	2370	9
996	2372	7
997	2374	4
998	2376	2
999	2378	0
